iid,gender,pid,match,samerace,field_cd,imprace,imprelig,from,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,date,attr,sinc,intel,fun,amb,like,prob,p_iid,p_pid,field_cd_p,imprace_p,imprelig_p,from_p,go_out_p,career_c_p,sports_p,tvsports_p,exercise_p,dining_p,museums_p,art_p,hiking_p,gaming_p,clubbing_p,reading_p,tv_p,theater_p,movies_p,concerts_p,music_p,shopping_p,yoga_p,date_p,attr_p,sinc_p,intel_p,fun_p,amb_p,like_p,prob_p,sports_difference,tvsports_difference,exercise_difference,dining_difference,museums_difference,art_difference,hiking_difference,gaming_difference,clubbing_difference,reading_difference,tv_difference,theater_difference,movies_difference,concerts_difference,music_difference,shopping_difference,yoga_difference,go_out_difference,imprelig_difference,imprace_difference,date_difference,attr_difference,sinc_difference,intel_difference,fun_difference,amb_difference,like_difference,prob_difference,age_o_difference,same_from,same_career,same_field,pref_diff_score
4.0,0.0,11.0,0.0,1.0,1.0,1.0,1.0,96,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,5.0,4.0,10.0,8.0,5.0,8.0,6.0,7.0,11.0,4.0,8.0,7.0,3.0,2,4.0,2.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,5.0,6.0,7.0,8.0,7.0,7.0,6.0,3.0,7.0,6.0,4.0,1.0,1.0,2.0,2.0,0.0,3.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,7.0,3.0,2.0,6.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,4.0,4.0,False,False,False,0.5352941176470588
4.0,0.0,12.0,0.0,1.0,1.0,1.0,1.0,96,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,5.0,8.0,7.0,8.0,10.0,7.0,8.0,1.0,12.0,4.0,1.0,1.0,1.0,41,1.0,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0,1.0,6.0,5.0,10.0,6.0,6.0,6.0,3.0,8.0,6.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,5.0,0.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,False,True,True,0.6176470588235294
4.0,0.0,13.0,0.0,0.0,1.0,1.0,1.0,96,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,5.0,4.0,7.0,8.0,8.0,6.0,4.0,1.0,13.0,4.0,1.0,3.0,5.0,123,1.0,1.0,7.0,8.0,2.0,9.0,5.0,6.0,4.0,7.0,7.0,6.0,8.0,10.0,8.0,9.0,9.0,8.0,1.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,7.0,4.0,2.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,7.0,0.0,4.0,2.0,2.0,6.0,3.0,2.0,2.0,4.0,6.0,9.0,1.0,False,True,True,0.48235294117647054
4.0,0.0,14.0,1.0,1.0,1.0,1.0,1.0,96,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,5.0,8.0,10.0,7.0,10.0,7.0,8.0,10.0,14.0,4.0,1.0,1.0,1.0,31,1.0,1.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0,4.0,7.0,7.0,7.0,9.0,9.0,8.0,10.0,9.0,5.0,2.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,0.0,6.0,3.0,2.0,1.0,5.0,7.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,False,True,True,0.6235294117647059
4.0,0.0,15.0,0.0,0.0,1.0,1.0,1.0,96,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,5.0,6.0,9.0,8.0,9.0,8.0,7.0,7.0,15.0,4.0,1.0,3.0,1.0,77,1.0,1.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0,4.0,8.0,8.0,9.0,8.0,8.0,9.0,7.0,8.0,6.0,3.0,0.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,7.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,False,True,True,0.6882352941176471
4.0,0.0,16.0,0.0,1.0,1.0,1.0,1.0,96,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,5.0,5.0,10.0,8.0,4.0,8.0,4.0,3.0,16.0,4.0,8.0,9.0,2.0,80,1.0,7.0,7.0,2.0,6.0,7.0,7.0,7.0,5.0,5.0,5.0,8.0,3.0,7.0,8.0,7.0,8.0,6.0,1.0,5.0,6.0,6.0,7.0,7.0,8.0,6.0,6.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,5.0,7.0,0.0,1.0,8.0,0.0,1.0,4.0,1.0,3.0,0.0,2.0,3.0,2.0,False,False,False,0.6529411764705882
4.0,0.0,17.0,0.0,1.0,1.0,1.0,1.0,96,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,5.0,7.0,10.0,10.0,7.0,10.0,5.0,1.0,17.0,4.0,13.0,1.0,1.0,47,2.0,2.0,8.0,2.0,9.0,7.0,7.0,5.0,4.0,2.0,6.0,4.0,2.0,7.0,9.0,7.0,7.0,2.0,2.0,3.0,7.0,6.0,3.0,5.0,6.0,6.0,4.0,7.0,1.0,3.0,0.0,1.0,2.0,3.0,3.0,1.0,3.0,5.0,2.0,2.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,2.0,0.0,4.0,7.0,2.0,4.0,1.0,3.0,7.0,False,False,False,0.5764705882352941
4.0,0.0,18.0,0.0,1.0,1.0,1.0,1.0,96,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,5.0,5.0,9.0,9.0,5.0,9.0,6.0,6.0,18.0,4.0,8.0,8.0,8.0,93,1.0,7.0,5.0,5.0,5.0,9.0,4.0,3.0,4.0,4.0,2.0,6.0,9.0,3.0,9.0,3.0,6.0,2.0,1.0,6.0,6.0,7.0,8.0,6.0,6.0,7.0,7.0,4.0,4.0,1.0,2.0,2.0,4.0,3.0,1.0,5.0,1.0,2.0,6.0,2.0,5.0,1.0,1.0,7.0,0.0,7.0,7.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,False,False,False,0.5294117647058824
4.0,0.0,19.0,1.0,1.0,1.0,1.0,1.0,96,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,5.0,9.0,8.0,10.0,10.0,7.0,8.0,8.0,19.0,4.0,8.0,1.0,1.0,157,1.0,7.0,10.0,10.0,10.0,10.0,5.0,5.0,6.0,7.0,9.0,8.0,1.0,1.0,7.0,7.0,7.0,7.0,10.0,1.0,7.0,7.0,7.0,10.0,9.0,8.0,8.0,9.0,9.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,6.0,8.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,5.0,False,False,False,0.5647058823529412
4.0,0.0,20.0,0.0,1.0,1.0,1.0,1.0,96,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,5.0,8.0,9.0,10.0,10.0,8.0,10.0,8.0,20.0,4.0,8.0,1.0,1.0,141,1.0,7.0,10.0,10.0,10.0,10.0,9.0,9.0,4.0,10.0,10.0,8.0,3.0,8.0,8.0,6.0,6.0,5.0,10.0,1.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,9.0,9.0,4.0,3.0,3.0,2.0,3.0,5.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,3.0,0.0,3.0,1.0,1.0,False,False,False,0.5705882352941176
